title,price,availability,rating,genre,url,image_url,description,upc,scraped_at,session_id,container_id,scrape_duration,retry_count
"1,000 Places to See Before You Die",£26.08,In stock,5,Travel,http://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,http://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,,,2025-05-28T10:26:29.179500,travel-a71af8d6,worker-0,47.27,0
The Secret Garden,£15.08,In stock,4,Classics,http://books.toscrape.com/catalogue/the-secret-garden_413/index.html,http://books.toscrape.com/media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg,,,2025-05-28T10:27:40.325828,classics-71588a70,worker-4,88.87,0
The Metamorphosis,£28.58,In stock,1,Classics,http://books.toscrape.com/catalogue/the-metamorphosis_409/index.html,http://books.toscrape.com/media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg,,,2025-05-28T10:27:41.094076,classics-71588a70,worker-4,89.64,0
The Pilgrim's Progress,£50.26,In stock,2,Classics,http://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html,http://books.toscrape.com/media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg,,,2025-05-28T10:27:41.862143,classics-71588a70,worker-4,90.41,0
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,In stock,2,Classics,http://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,http://books.toscrape.com/media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg,,,2025-05-28T10:27:42.751213,classics-71588a70,worker-4,91.3,0
Little Women (Little Women #1),£28.07,In stock,4,Classics,http://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html,http://books.toscrape.com/media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg,,,2025-05-28T10:27:43.721457,classics-71588a70,worker-4,92.27,0
Gone with the Wind,£32.49,In stock,3,Classics,http://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html,http://books.toscrape.com/media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg,,,2025-05-28T10:27:44.619144,classics-71588a70,worker-4,93.16,0
Candide,£58.63,In stock,3,Classics,http://books.toscrape.com/catalogue/candide_316/index.html,http://books.toscrape.com/media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg,,,2025-05-28T10:27:45.429707,classics-71588a70,worker-4,93.97,0
Animal Farm,£57.22,In stock,3,Classics,http://books.toscrape.com/catalogue/animal-farm_313/index.html,http://books.toscrape.com/media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg,,,2025-05-28T10:27:46.245391,classics-71588a70,worker-4,94.79,0
Wuthering Heights,£17.73,In stock,3,Classics,http://books.toscrape.com/catalogue/wuthering-heights_307/index.html,http://books.toscrape.com/media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg,,,2025-05-28T10:27:47.023089,classics-71588a70,worker-4,95.57,0
The Picture of Dorian Gray,£29.70,In stock,2,Classics,http://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html,http://books.toscrape.com/media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg,,,2025-05-28T10:27:47.759624,classics-71588a70,worker-4,96.3,0
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,In stock,4,Classics,http://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,http://books.toscrape.com/media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg,,,2025-05-28T10:27:48.563901,classics-71588a70,worker-4,97.11,0
Beowulf,£38.35,In stock,2,Classics,http://books.toscrape.com/catalogue/beowulf_126/index.html,http://books.toscrape.com/media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg,,,2025-05-28T10:27:49.333422,classics-71588a70,worker-4,97.88,0
And Then There Were None,£35.01,In stock,2,Classics,http://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html,http://books.toscrape.com/media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg,,,2025-05-28T10:27:50.088611,classics-71588a70,worker-4,98.63,0
The Story of Hong Gildong,£43.19,In stock,4,Classics,http://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html,http://books.toscrape.com/media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg,,,2025-05-28T10:27:50.884568,classics-71588a70,worker-4,99.43,0
The Little Prince,£45.42,In stock,2,Classics,http://books.toscrape.com/catalogue/the-little-prince_72/index.html,http://books.toscrape.com/media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg,,,2025-05-28T10:27:51.777693,classics-71588a70,worker-4,100.32,0
Sense and Sensibility,£37.46,In stock,1,Classics,http://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,http://books.toscrape.com/media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg,,,2025-05-28T10:27:52.615276,classics-71588a70,worker-4,101.16,0
Of Mice and Men,£47.11,In stock,2,Classics,http://books.toscrape.com/catalogue/of-mice-and-men_37/index.html,http://books.toscrape.com/media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg,,,2025-05-28T10:27:53.435636,classics-71588a70,worker-4,101.98,0
Emma,£32.93,In stock,2,Classics,http://books.toscrape.com/catalogue/emma_17/index.html,http://books.toscrape.com/media/cache/09/63/09638baaef52f03827c215029c632a13.jpg,,,2025-05-28T10:27:54.227671,classics-71588a70,worker-4,102.77,0
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,In stock,1,Classics,http://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,http://books.toscrape.com/media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg,,,2025-05-28T10:27:54.973670,classics-71588a70,worker-4,103.52,0
Sophie's World,£15.94,In stock,5,Philosophy,http://books.toscrape.com/catalogue/sophies-world_966/index.html,http://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,,,2025-05-28T10:28:10.626235,philosophy-33d789aa,worker-5,115.05,0
The Death of Humanity: and the Case for Life,£58.11,In stock,4,Philosophy,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,http://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,,,2025-05-28T10:28:11.459953,philosophy-33d789aa,worker-5,115.88,0
The Stranger,£17.44,In stock,4,Philosophy,http://books.toscrape.com/catalogue/the-stranger_861/index.html,http://books.toscrape.com/media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg,,,2025-05-28T10:28:12.299901,philosophy-33d789aa,worker-5,116.72,0
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,In stock,1,Philosophy,http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,http://books.toscrape.com/media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg,,,2025-05-28T10:28:13.095675,philosophy-33d789aa,worker-5,117.52,0
Kierkegaard: A Christian Missionary to Christians,£47.13,In stock,1,Philosophy,http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html,http://books.toscrape.com/media/cache/05/ce/05ce699eaf78c0fae20308497c4f496a.jpg,,,2025-05-28T10:28:13.798823,philosophy-33d789aa,worker-5,118.22,0
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,In stock,5,Philosophy,http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,http://books.toscrape.com/media/cache/de/76/de76d5c473c358bd41c03cf710692bfb.jpg,,,2025-05-28T10:28:14.560672,philosophy-33d789aa,worker-5,118.98,0
Critique of Pure Reason,£20.75,In stock,1,Philosophy,http://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html,http://books.toscrape.com/media/cache/12/6e/126ef8f6473b81808ebbb9cff155e883.jpg,,,2025-05-28T10:28:15.355097,philosophy-33d789aa,worker-5,119.78,0
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,In stock,1,Philosophy,http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html,http://books.toscrape.com/media/cache/91/e6/91e6190dcdd7d6cdeb94a82b60917ec4.jpg,,,2025-05-28T10:28:16.157019,philosophy-33d789aa,worker-5,120.58,0
The Nicomachean Ethics,£36.34,In stock,1,Philosophy,http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html,http://books.toscrape.com/media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg,,,2025-05-28T10:28:16.887098,philosophy-33d789aa,worker-5,121.31,0
Meditations,£25.89,In stock,2,Philosophy,http://books.toscrape.com/catalogue/meditations_33/index.html,http://books.toscrape.com/media/cache/df/c9/dfc9ed72e963572d23233b3a8cb01676.jpg,,,2025-05-28T10:28:17.560487,philosophy-33d789aa,worker-5,121.98,0
Beyond Good and Evil,£43.38,In stock,1,Philosophy,http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html,http://books.toscrape.com/media/cache/ab/45/ab45f300aa15066ad1260d6f1398d03e.jpg,,,2025-05-28T10:28:18.374064,philosophy-33d789aa,worker-5,122.79,0
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,In stock,4,Womens Fiction,http://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,http://books.toscrape.com/media/cache/5f/72/5f72c8a0d5a7292e2929a354ec8a022f.jpg,,,2025-05-28T10:28:51.577307,womens fiction-613fc29a,worker-4,46.29,0
Will You Won't You Want Me?,£13.86,In stock,3,Womens Fiction,http://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html,http://books.toscrape.com/media/cache/16/e3/16e3ca741956485119251e7442a67e2e.jpg,,,2025-05-28T10:28:52.318605,womens fiction-613fc29a,worker-4,47.03,0
Keep Me Posted,£20.46,In stock,4,Womens Fiction,http://books.toscrape.com/catalogue/keep-me-posted_594/index.html,http://books.toscrape.com/media/cache/ae/ac/aeac003461b89c7ef826251d940b2afc.jpg,,,2025-05-28T10:28:53.060205,womens fiction-613fc29a,worker-4,47.77,0
Grey (Fifty Shades #4),£48.49,In stock,4,Womens Fiction,http://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html,http://books.toscrape.com/media/cache/bb/ee/bbeeab4c4ce572c0e9764e3a96c6d4a5.jpg,,,2025-05-28T10:28:53.799330,womens fiction-613fc29a,worker-4,48.51,0
Meternity,£43.58,In stock,3,Womens Fiction,http://books.toscrape.com/catalogue/meternity_478/index.html,http://books.toscrape.com/media/cache/39/e3/39e33ebef2d7a35dd6899541eba8306d.jpg,,,2025-05-28T10:28:54.575624,womens fiction-613fc29a,worker-4,49.29,0
Some Women,£13.73,In stock,5,Womens Fiction,http://books.toscrape.com/catalogue/some-women_341/index.html,http://books.toscrape.com/media/cache/27/b7/27b7f4ec590965b5acc15dc4b1376684.jpg,,,2025-05-28T10:28:55.291364,womens fiction-613fc29a,worker-4,50.0,0
Shopaholic Ties the Knot (Shopaholic #3),£48.39,In stock,5,Womens Fiction,http://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html,http://books.toscrape.com/media/cache/ac/ba/acba5e4e1813b8c1fff4890f1efef3ab.jpg,,,2025-05-28T10:28:56.009410,womens fiction-613fc29a,worker-4,50.72,0
Can You Keep a Secret?,£21.94,In stock,1,Womens Fiction,http://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html,http://books.toscrape.com/media/cache/72/73/7273ff1bfe3b0a6aab7f54ddf9be7b44.jpg,,,2025-05-28T10:28:56.741982,womens fiction-613fc29a,worker-4,51.45,0
Twenties Girl,£42.80,In stock,2,Womens Fiction,http://books.toscrape.com/catalogue/twenties-girl_292/index.html,http://books.toscrape.com/media/cache/a0/fa/a0fa38039f6a674a7c89dfe2be866259.jpg,,,2025-05-28T10:28:57.511552,womens fiction-613fc29a,worker-4,52.22,0
The Undomestic Goddess,£45.75,In stock,4,Womens Fiction,http://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html,http://books.toscrape.com/media/cache/13/8f/138f4cf84be250d08e1f5c1db3643dbc.jpg,,,2025-05-28T10:28:58.256961,womens fiction-613fc29a,worker-4,52.97,0
The Nanny Diaries (Nanny #1),£52.53,In stock,5,Womens Fiction,http://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html,http://books.toscrape.com/media/cache/63/5f/635fb981e464f7427787824b20a15e71.jpg,,,2025-05-28T10:28:58.974255,womens fiction-613fc29a,worker-4,53.69,0
The Devil Wears Prada (The Devil Wears Prada #1),£44.29,In stock,1,Womens Fiction,http://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html,http://books.toscrape.com/media/cache/87/d3/87d34d376555dd0cb75030d1059cc144.jpg,,,2025-05-28T10:28:59.742936,womens fiction-613fc29a,worker-4,54.46,0
Something Borrowed (Darcy & Rachel #1),£48.96,In stock,5,Womens Fiction,http://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/index.html,http://books.toscrape.com/media/cache/6d/6d/6d6d5799190b4f9ef89f3bbc8b67d60d.jpg,,,2025-05-28T10:29:00.477759,womens fiction-613fc29a,worker-4,55.19,0
Something Blue (Darcy & Rachel #2),£54.62,In stock,1,Womens Fiction,http://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html,http://books.toscrape.com/media/cache/72/f5/72f5ed312bc82afa386c9cd48d4e36dd.jpg,,,2025-05-28T10:29:01.233088,womens fiction-613fc29a,worker-4,55.95,0
I've Got Your Number,£19.69,In stock,1,Womens Fiction,http://books.toscrape.com/catalogue/ive-got-your-number_173/index.html,http://books.toscrape.com/media/cache/b2/df/b2df826432771838819db89c20e20609.jpg,,,2025-05-28T10:29:02.027874,womens fiction-613fc29a,worker-4,56.74,0
The Edge of Reason (Bridget Jones #2),£19.18,In stock,4,Womens Fiction,http://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html,http://books.toscrape.com/media/cache/db/34/db341aa83daa76cd9f9bd2c86ccb5dba.jpg,,,2025-05-28T10:29:02.805041,womens fiction-613fc29a,worker-4,57.52,0
Bridget Jones's Diary (Bridget Jones #1),£29.82,In stock,1,Womens Fiction,http://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html,http://books.toscrape.com/media/cache/0c/32/0c329cbd2adf4e0dc825f892106673b2.jpg,,,2025-05-28T10:29:03.617054,womens fiction-613fc29a,worker-4,58.33,0
Sharp Objects,£47.82,In stock,4,Mystery,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,,,2025-05-28T10:26:44.907896,mystery-768482fc,worker-1,49.2,0
"In a Dark, Dark Wood",£19.63,In stock,1,Mystery,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,http://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,,,2025-05-28T10:26:45.803118,mystery-768482fc,worker-1,50.1,0
The Past Never Ends,£56.50,In stock,4,Mystery,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,http://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,,,2025-05-28T10:26:46.824758,mystery-768482fc,worker-1,51.12,0
A Murder in Time,£16.64,In stock,1,Mystery,http://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,http://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,,,2025-05-28T10:26:47.654237,mystery-768482fc,worker-1,51.95,0
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,In stock,4,Mystery,http://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,http://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,,,2025-05-28T10:26:48.473118,mystery-768482fc,worker-1,52.77,0
The Last Mile (Amos Decker #2),£54.21,In stock,2,Mystery,http://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,http://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,,,2025-05-28T10:26:49.271190,mystery-768482fc,worker-1,53.56,0
That Darkness (Gardiner and Renner #1),£13.92,In stock,1,Mystery,http://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,http://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,,,2025-05-28T10:26:50.011511,mystery-768482fc,worker-1,54.3,0
Tastes Like Fear (DI Marnie Rome #3),£10.69,In stock,1,Mystery,http://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,http://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,,,2025-05-28T10:26:50.787649,mystery-768482fc,worker-1,55.08,0
A Time of Torment (Charlie Parker #14),£48.35,In stock,5,Mystery,http://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,http://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,,,2025-05-28T10:26:51.560728,mystery-768482fc,worker-1,55.85,0
A Study in Scarlet (Sherlock Holmes #1),£16.73,In stock,2,Mystery,http://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,http://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,,,2025-05-28T10:26:52.306326,mystery-768482fc,worker-1,56.6,0
Poisonous (Max Revere Novels #3),£26.80,In stock,3,Mystery,http://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,http://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,,,2025-05-28T10:26:53.120841,mystery-768482fc,worker-1,57.41,0
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,In stock,4,Mystery,http://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,http://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,,,2025-05-28T10:26:53.906830,mystery-768482fc,worker-1,58.2,0
Most Wanted,£35.28,In stock,3,Mystery,http://books.toscrape.com/catalogue/most-wanted_623/index.html,http://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,,,2025-05-28T10:26:54.692372,mystery-768482fc,worker-1,58.99,0
Hide Away (Eve Duncan #20),£11.84,In stock,1,Mystery,http://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,http://books.toscrape.com/media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,,,2025-05-28T10:26:55.471679,mystery-768482fc,worker-1,59.76,0
Boar Island (Anna Pigeon #19),£59.48,In stock,3,Mystery,http://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,http://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,,,2025-05-28T10:26:56.221998,mystery-768482fc,worker-1,60.51,0
The Widow,£27.26,In stock,2,Mystery,http://books.toscrape.com/catalogue/the-widow_609/index.html,http://books.toscrape.com/media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,,,2025-05-28T10:26:57.074014,mystery-768482fc,worker-1,61.37,0
Playing with Fire,£13.71,In stock,3,Mystery,http://books.toscrape.com/catalogue/playing-with-fire_602/index.html,http://books.toscrape.com/media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,,,2025-05-28T10:26:57.924228,mystery-768482fc,worker-1,62.22,0
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,In stock,5,Mystery,http://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,http://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,,,2025-05-28T10:26:58.726121,mystery-768482fc,worker-1,63.02,0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,In stock,5,Mystery,http://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,http://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,,,2025-05-28T10:26:59.647995,mystery-768482fc,worker-1,63.94,0
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,In stock,4,Mystery,http://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,http://books.toscrape.com/media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,,,2025-05-28T10:27:00.460389,mystery-768482fc,worker-1,64.75,0
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,In stock,4,Mystery,http://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,http://books.toscrape.com/media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg,,,2025-05-28T10:29:35.779408,mystery-768482fc,worker-1,220.07,0
In the Woods (Dublin Murder Squad #1),£38.38,In stock,2,Mystery,http://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,http://books.toscrape.com/media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg,,,2025-05-28T10:29:36.587449,mystery-768482fc,worker-1,220.88,0
The Silkworm (Cormoran Strike #2),£23.05,In stock,5,Mystery,http://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,http://books.toscrape.com/media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,,,2025-05-28T10:29:37.405377,mystery-768482fc,worker-1,221.7,0
The Exiled,£43.45,In stock,3,Mystery,http://books.toscrape.com/catalogue/the-exiled_247/index.html,http://books.toscrape.com/media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg,,,2025-05-28T10:29:38.219715,mystery-768482fc,worker-1,222.51,0
The Cuckoo's Calling (Cormoran Strike #1),£19.21,In stock,1,Mystery,http://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,http://books.toscrape.com/media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg,,,2025-05-28T10:29:38.991652,mystery-768482fc,worker-1,223.28,0
Extreme Prey (Lucas Davenport #26),£25.40,In stock,3,Mystery,http://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,http://books.toscrape.com/media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg,,,2025-05-28T10:29:39.808166,mystery-768482fc,worker-1,224.1,0
Career of Evil (Cormoran Strike #3),£24.72,In stock,2,Mystery,http://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,http://books.toscrape.com/media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,,,2025-05-28T10:29:40.580157,mystery-768482fc,worker-1,224.87,0
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,In stock,4,Mystery,http://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,http://books.toscrape.com/media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,,,2025-05-28T10:29:41.345491,mystery-768482fc,worker-1,225.64,0
The Girl You Lost,£12.29,In stock,5,Mystery,http://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,http://books.toscrape.com/media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,,,2025-05-28T10:29:42.068643,mystery-768482fc,worker-1,226.36,0
The Girl In The Ice (DCI Erika Foster #1),£15.85,In stock,3,Mystery,http://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,http://books.toscrape.com/media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg,,,2025-05-28T10:29:42.872632,mystery-768482fc,worker-1,227.17,0
